WhiteName,WhiteNameHash,BlackName,BlackNameHash,WhiteResult,BlackResult,WhiteRank,BlackRank,Date,Round
slobodjan roman,95c05164,leko peter,27b33d0f,1.0,0.0,2550,2635,1997.12.09,1.1
seirawan yasser,719daf68,anastasian ashot,88381f9f,0.5,0.5,2630,2545,1997.12.09,1.1
sokolov andrei,d472d3e2,kobese watu,15c5754e,1.0,0.0,2585,2315,1997.12.09,1.1
sutovskij emil,b4ed57f9,garcia gildardo,d1f27af2,0.0,1.0,2590,2480,1997.12.09,1.1
smyslov vassily,342242bf,morozevich alexander,f94adfdd,0.0,1.0,2480,2590,1997.12.09,1.1
van der wiel john th,324ea4a6,ehlvest jaan,e97c1dd5,0.5,0.5,2525,2610,1997.12.09,1.1
umgaev alexander,10b53a2e,bologan viktor,4c4b601b,0.0,1.0,0,2585,1997.12.09,1.1
chernin alexander,5f99536a,istratescu andrei,216d0601,1.0,0.0,2640,2550,1997.12.10,1.3
christiansen larry mark,91380863,andersson ulf,660a038f,0.5,0.5,2550,2640,1997.12.10,1.3
hansen curt,b3b20c75,miladinovic igor,03e311ff,0.0,1.0,2600,2500,1997.12.10,1.3
barua dibyendu,873bdaaa,hracek zbynek,aa3c04e3,0.5,0.5,2515,2605,1997.12.10,1.3
aleksandrov aleksej,178e8d6b,gulko boris f,8b80de8f,0.5,0.5,2660,2580,1997.12.10,1.3
zvjaginsev vadim,bc2e31be,benjamin joel,19e0df17,0.5,0.5,2635,2580,1997.12.10,1.2
wells peter k,191c2233,alterman boris,8873b1bc,0.5,0.5,2530,2615,1997.12.10,1.2
bacrot etienne,bc0082fe,giorgadze giorgi,109e3794,0.5,0.5,2545,2625,1997.12.10,1.3
wang zili,423dab74,adianto utut,41af623f,0.0,1.0,2520,2610,1997.12.10,1.2
tkachiev vladislav,6b47332a,fominyh alexander,c8a08c77,0.5,0.5,2615,2535,1997.12.10,1.2
sulskis sarunas,e481c0a2,hjartarson johann,47e72a62,0.5,0.5,2510,2605,1997.12.10,1.2
spraggett kevin,12f04dd2,rublevsky sergei,fe564943,0.0,1.0,2575,2650,1997.12.10,1.2
oll lembit,875054cd,petursson margeir,8002e8db,0.5,0.5,2645,2555,1997.12.10,1.2
nijboer friso,f4d2925d,glek igor v,a0900e7c,1.0,0.0,2605,2505,1997.12.10,1.2
nenashev alexander,ec0baf4d,hoeksema hendrik pieter,a25c92a3,1.0,0.0,2585,2400,1997.12.10,1.2
murshed niaz,3f2b6b69,milos gilberto,7ce04910,0.0,1.0,2490,2590,1997.12.10,1.2
morozevich alexander,f94adfdd,smyslov vassily,342242bf,1.0,0.0,2590,2480,1997.12.10,1.2
van der sterren paul,8567ed3d,krasenkow michal,86f14e43,0.5,0.5,2555,2645,1997.12.10,1.2
milov vadim,8e0001eb,kotronias vasilios,7eb04ad8,0.5,0.5,2635,2585,1997.12.10,1.3
miladinovic igor,03e311ff,hansen curt,b3b20c75,1.0,0.0,2500,2600,1997.12.10,1.2
lerner konstantin z,7d8f8020,rozentalis eduardas,6544b1b6,0.0,1.0,2560,2645,1997.12.10,1.2
leko peter,27b33d0f,slobodjan roman,95c05164,0.5,0.5,2635,2550,1997.12.10,1.2
portisch lajos,30367fad,luther thomas,760b675e,0.5,0.5,2610,2525,1997.12.10,1.5
istratescu andrei,216d0601,chernin alexander,5f99536a,0.5,0.5,2550,2640,1997.12.10,1.2
illescas cordoba miguel,add8cf68,gretarsson helgi ass,84d6e201,0.0,1.0,2585,2475,1997.12.10,1.2
hracek zbynek,aa3c04e3,barua dibyendu,873bdaaa,0.5,0.5,2605,2515,1997.12.10,1.2
hernandez gilberto,91e5c8e3,kortschnoj viktor,9be806ff,0.5,0.5,2525,2610,1997.12.10,1.2
hamdouchi hichem,fb653bed,malaniuk vladimir p,2f49862f,0.0,1.0,2535,2615,1997.12.10,1.2
gulko boris f,8b80de8f,aleksandrov aleksej,178e8d6b,0.5,0.5,2580,2660,1997.12.10,1.2
granda zuniga julio e,0835782b,kurajica bojan,29cb0a64,1.0,0.0,2625,2545,1997.12.10,1.2
garcia gildardo,d1f27af2,sutovskij emil,b4ed57f9,0.5,0.5,2480,2590,1997.12.10,1.2
ehlvest jaan,e97c1dd5,van der wiel john th,324ea4a6,1.0,0.0,2610,2525,1997.12.10,1.2
bologan viktor,4c4b601b,umgaev alexander,10b53a2e,1.0,0.0,2585,0,1997.12.10,1.2
bacrot etienne,bc0082fe,giorgadze giorgi,109e3794,0.5,0.5,2545,2625,1997.12.10,1.2
andersson ulf,660a038f,christiansen larry mark,91380863,0.5,0.5,2640,2550,1997.12.10,1.2
anastasian ashot,88381f9f,seirawan yasser,719daf68,0.5,0.5,2545,2630,1997.12.10,1.2
almasi zoltan,2efd8dc3,peng xiaomin,4f165423,1.0,0.0,2615,2530,1997.12.10,1.2
kurajica bojan,29cb0a64,granda zuniga julio e,0835782b,0.0,1.0,2545,2625,1997.12.10,1.3
luther thomas,760b675e,portisch lajos,30367fad,0.5,0.5,2525,2610,1997.12.10,1.3
shaked tal,09ab1f74,morovic fernandez ivan,6199a830,0.5,0.5,2500,2600,1997.12.10,1.3
nijboer friso,f4d2925d,glek igor v,a0900e7c,0.5,0.5,2605,2505,1997.12.10,1.3
seirawan yasser,719daf68,anastasian ashot,88381f9f,1.0,0.0,2630,2545,1997.12.10,1.3
zvjaginsev vadim,bc2e31be,benjamin joel,19e0df17,0.5,0.5,2635,2580,1997.12.10,1.3
sulskis sarunas,e481c0a2,hjartarson johann,47e72a62,0.5,0.5,2510,2605,1997.12.10,1.3
yermolinsky alex,2878ea2d,kindermann stefan,ca43c560,1.0,0.0,2650,2570,1997.12.10,1.3
giorgadze giorgi,109e3794,bacrot etienne,bc0082fe,0.5,0.5,2625,2545,1997.12.10,1.4
anastasian ashot,88381f9f,seirawan yasser,719daf68,0.0,1.0,2545,2630,1997.12.10,1.4
andersson ulf,660a038f,christiansen larry mark,91380863,0.5,0.5,2640,2550,1997.12.10,1.4
hjartarson johann,47e72a62,sulskis sarunas,e481c0a2,1.0,0.0,2605,2510,1997.12.10,1.4
glek igor v,a0900e7c,nijboer friso,f4d2925d,0.0,1.0,2505,2605,1997.12.10,1.4
gulko boris f,8b80de8f,aleksandrov aleksej,178e8d6b,0.5,0.5,2580,2660,1997.12.10,1.4
kindermann stefan,ca43c560,yermolinsky alex,2878ea2d,1.0,0.0,2570,2650,1997.12.10,1.4
hracek zbynek,aa3c04e3,barua dibyendu,873bdaaa,0.5,0.5,2605,2515,1997.12.10,1.4
istratescu andrei,216d0601,chernin alexander,5f99536a,1.0,0.0,2550,2640,1997.12.10,1.4
morovic fernandez ivan,6199a830,shaked tal,09ab1f74,0.5,0.5,2600,2500,1997.12.10,1.4
kotronias vasilios,7eb04ad8,milov vadim,8e0001eb,0.0,1.0,2585,2635,1997.12.10,1.4
miladinovic igor,03e311ff,hansen curt,b3b20c75,0.5,0.5,2500,2600,1997.12.10,1.4
christiansen larry mark,91380863,andersson ulf,660a038f,0.5,0.5,2550,2640,1997.12.10,1.5
portisch lajos,30367fad,luther thomas,760b675e,0.5,0.5,2610,2525,1997.12.10,1.4
bacrot etienne,bc0082fe,giorgadze giorgi,109e3794,0.5,0.5,2545,2625,1997.12.10,1.5
istratescu andrei,216d0601,chernin alexander,5f99536a,1.0,0.0,2550,2640,1997.12.10,1.5
gulko boris f,8b80de8f,aleksandrov aleksej,178e8d6b,0.0,1.0,2580,2660,1997.12.10,1.5
hracek zbynek,aa3c04e3,barua dibyendu,873bdaaa,1.0,0.0,2605,2515,1997.12.10,1.5
morovic fernandez ivan,6199a830,shaked tal,09ab1f74,0.5,0.5,2600,2500,1997.12.10,1.2
milov vadim,8e0001eb,kotronias vasilios,7eb04ad8,0.5,0.5,2635,2585,1997.12.10,1.2
kobese watu,15c5754e,sokolov andrei,d472d3e2,0.5,0.5,2315,2585,1997.12.10,1.2
shaked tal,09ab1f74,morovic fernandez ivan,6199a830,1.0,0.0,2500,2600,1997.12.10,1.5
yermolinsky alex,2878ea2d,kindermann stefan,ca43c560,0.0,1.0,2650,2570,1997.12.10,1.5
andersson ulf,660a038f,christiansen larry mark,91380863,0.5,0.5,2640,2550,1997.12.10,1.6
giorgadze giorgi,109e3794,bacrot etienne,bc0082fe,0.5,0.5,2625,2545,1997.12.10,1.6
luther thomas,760b675e,portisch lajos,30367fad,1.0,0.0,2525,2610,1997.12.10,1.6
bacrot etienne,bc0082fe,giorgadze giorgi,109e3794,0.0,1.0,2545,2625,1997.12.10,1.7
christiansen larry mark,91380863,andersson ulf,660a038f,0.5,0.5,2550,2640,1997.12.10,1.7
andersson ulf,660a038f,christiansen larry mark,91380863,0.5,0.5,2640,2550,1997.12.10,1.8
christiansen larry mark,91380863,andersson ulf,660a038f,0.0,1.0,2550,2640,1997.12.10,1.9
adams michael,7e2d180d,giorgadze giorgi,109e3794,1.0,0.0,2680,2625,1997.12.11,2.1
andersson ulf,660a038f,milov vadim,8e0001eb,1.0,0.0,2640,2635,1997.12.11,2.1
azmaiparashvili zurab,07aa741c,slobodjan roman,95c05164,0.5,0.5,2645,2550,1997.12.11,2.1
luther thomas,760b675e,akopian vladimir,27c35d7f,0.5,0.5,2525,2660,1997.12.11,2.1
aleksandrov aleksej,178e8d6b,hjartarson johann,47e72a62,0.5,0.5,2660,2605,1997.12.11,2.1
van wely loek,e9112b0e,miladinovic igor,03e311ff,0.5,0.5,2655,2500,1997.12.11,2.1
tkachiev vladislav,6b47332a,salov valery,89d58894,0.5,0.5,2615,2680,1997.12.11,2.1
svidler peter,96b21fac,adianto utut,41af623f,1.0,0.0,2660,2610,1997.12.11,2.1
sokolov ivan,8da6ff9c,epishin vladimir,e5b9b7b2,1.0,0.0,2635,2570,1997.12.11,2.1
almasi zoltan,2efd8dc3,polgar judit,a1896854,0.5,0.5,2615,2670,1997.12.11,2.1
short nigel d,c1a2666a,kortschnoj viktor,9be806ff,0.5,0.5,2660,2610,1997.12.11,2.1
rublevsky sergei,fe564943,shaked tal,09ab1f74,0.5,0.5,2650,2500,1997.12.11,2.1
rozentalis eduardas,6544b1b6,tiviakov sergei,0436dafb,0.0,1.0,2645,2590,1997.12.11,2.1
nikolic predrag,6fc1d5b7,anand viswanathan,96850629,0.0,1.0,2630,2765,1997.12.11,2.1
nijboer friso,f4d2925d,khalifman alexander,391cd6ec,0.0,1.0,2605,2655,1997.12.11,2.1
nenashev alexander,ec0baf4d,dreev alexey,a7e5ec7d,0.5,0.5,2585,2640,1997.12.11,2.1
morozevich alexander,f94adfdd,oll lembit,875054cd,0.0,1.0,2590,2645,1997.12.11,2.1
milos gilberto,7ce04910,kindermann stefan,ca43c560,1.0,0.0,2590,2570,1997.12.11,2.1
bareev evgeny,caa337d9,malaniuk vladimir p,2f49862f,1.0,0.0,2670,2615,1997.12.11,2.1
kaidanov grigory s,c2517448,zvjaginsev vadim,bc2e31be,0.5,0.5,2600,2635,1997.12.11,2.1
istratescu andrei,216d0601,sokolov andrei,d472d3e2,0.0,1.0,2550,2585,1997.12.11,2.1
gretarsson helgi ass,84d6e201,jussupow artur,7a70e9e2,0.5,0.5,2475,2640,1997.12.11,2.1
hracek zbynek,aa3c04e3,lautier joel,cc509dbb,0.0,1.0,2605,2660,1997.12.11,2.1
georgiev kiril,12cc8dc0,alterman boris,8873b1bc,0.5,0.5,2670,2615,1997.12.11,2.1
granda zuniga julio e,0835782b,shirov alexei,ee2d7958,0.0,1.0,2625,2700,1997.12.11,2.1
bologan viktor,4c4b601b,vaganian rafael a,94ad0577,0.0,1.0,2585,2640,1997.12.11,2.1
beliavsky alexander g,ffb66c7f,timman jan h,b1fc087a,0.5,0.5,2710,2625,1997.12.11,2.1
